α,κ,δ,β,NE_found
0.7276,0.5451,0.7757,37.18851585343858,true
0.3808,0.0954,0.2266,5.737364737813454,true
0.6837,0.8588,0.3187,4.8841731103503525,true
0.7945,0.1935,0.0876,5.037953761798738,true
0.1314,0.8408,0.1223,1.4347634608785558,true
0.0813,0.4615,0.7908,7.583690844899954,false
0.5591,0.1356,0.3264,52.03934150851656,true
0.4659,0.0261,0.819,3.8076035433731965,true
0.15,0.671,0.6672,5.408652575459991,false
0.4181,0.964,0.0758,2.6804910356578264,true
0.7928,0.1071,0.192,1.2460767305873808,true
0.3587,0.2865,0.8891,40.32614427798037,true
0.9716,0.2816,0.8363,3.709881739627115,true
0.9867,0.0337,0.9632,34.53592200905636,true
0.8488,0.2543,0.5631,1.9021788646473916,true
0.1659,0.1971,0.8294,1.0597149957102876,true
0.9889,0.9882,0.6376,35.374810533302046,false
0.8983,0.9466,0.7142,26.896603104746056,false
0.7487,0.0798,0.0525,1.2611197288283293,true
0.1431,0.4596,0.8849,21.455907169973106,false
0.8733,0.9958,0.5043,10.559226209734458,false
0.7932,0.8069,0.9586,15.409743435929318,true
0.0392,0.8555,0.6846,52.09140687837122,true
0.2283,0.7245,0.718,21.78017168142178,false
0.5115,0.4555,0.4095,5.430330512732468,true
0.5989,0.3255,0.191,1.0575976837366112,true
0.0193,0.5549,0.7934,53.570578029157495,false
0.8678,0.5515,0.5646,24.288427443094555,true
0.148,0.569,0.643,20.105632506227742,false
0.9621,0.6119,0.354,29.69563306056092,true
0.0453,0.8158,0.4156,2.4620639444796986,true
0.6339,0.2754,0.6109,14.570515492701313,false
0.2285,0.4959,0.897,20.573421000055713,true
0.2877,0.2584,0.4848,18.393548902237065,true
0.0358,0.5584,0.5205,40.487771894822544,false
0.6291,0.3641,0.9609,4.678605053463718,true
0.4725,0.3377,0.6745,10.298517985703375,true
0.8842,0.4594,0.6889,18.878052426114635,true
0.7777,0.3245,0.6179,2.90374127394678,true
0.7327,0.4921,0.0382,2.3964776177110654,true
0.7653,0.6249,0.7632,2.1382762204968184,true
0.8332,0.0845,0.295,4.087771679715297,true
0.6902,0.1118,0.5573,2.8950431039036304,true
0.8858,0.0718,0.6672,6.001443358210744,true
0.4975,0.047,0.5247,1.1241194296905368,true
0.9722,0.0027,0.7835,38.59026335644237,false
0.7119,0.3,0.5506,2.938796077398218,true
0.4798,0.8401,0.8511,15.910829849857665,false
0.8634,0.457,0.7546,1.4710846708147431,true
0.9654,0.3936,0.7935,1.9155408290138962,true
0.3299,0.4757,0.348,3.9511236230770037,true
0.3968,0.4204,0.6341,44.07972825448507,false
0.8394,0.7006,0.7702,1.9957102459664608,true
0.9529,0.4853,0.0729,2.466992999780941,true
0.4767,0.5248,0.4919,2.691234472349262,true
0.096,0.3349,0.0114,18.06542697855405,true
0.8076,0.9291,0.0953,45.46760070975853,true
0.1299,0.2248,0.7255,13.250032430312626,true
0.4748,0.6613,0.9615,9.698778987414936,false
0.1514,0.3974,0.5032,6.147220325184242,true
0.8318,0.8157,0.6696,19.144203873082912,false
0.235,0.9558,0.1807,18.210530032717003,true
0.3577,0.9715,0.5251,4.091861495962319,true
0.1124,0.5245,0.1389,4.366666921946391,true
0.5033,0.8262,0.6572,30.084196480323918,false
0.6451,0.8839,0.9129,1.8330843770260485,true
0.9546,0.3269,0.9519,7.021662406181339,true
0.4764,0.7227,0.8886,9.061185849903008,true
0.7695,0.2329,0.5803,4.7540648025104,true
0.2024,0.0354,0.1431,3.142441356839167,true
0.1217,0.3365,0.839,4.018866911141532,true
0.6204,0.0694,0.759,1.005012520859401,true
0.7591,0.6619,0.0815,17.975325285605425,false
0.8667,0.6397,0.833,9.660061358346903,false
0.3907,0.3678,0.7811,5.523435279705856,true
0.1413,0.0007,0.3298,26.842863655898565,false
0.8045,0.6237,0.9589,20.511793224939044,false
0.4148,0.6325,0.7657,4.1996450087879245,true
0.1308,0.7098,0.5678,41.38837316653923,false
0.3032,0.3197,0.3391,24.70486036037963,false
0.7083,0.0553,0.0975,15.425160886805903,false
0.5523,0.8641,0.9343,3.2123411450916888,true
0.3337,0.357,0.1878,1.0575976837366112,true
0.1894,0.8065,0.0444,46.43251647985555,false
0.8892,0.1637,0.2948,2.104336046415478,true
0.5438,0.7269,0.682,1.3525612267094822,true
0.2158,0.2981,0.4038,6.560061644898295,true
0.8516,0.0596,0.6139,2.8519415273209767,true
0.5707,0.0317,0.4099,13.276559012913655,false
0.4866,0.6423,0.4742,1.9581497063588058,true
0.2727,0.4312,0.5499,16.10290998390416,false
0.1233,0.436,0.8518,16.10290998390416,true
0.0186,0.2647,0.7763,25.45723536904171,true
0.8087,0.1827,0.5968,1.05548460215508,true
0.3999,0.316,0.7442,44.567281894146596,true
0.3116,0.5862,0.0659,30.204774261036306,true
0.917,0.8516,0.3836,29.107620128966033,false
0.6358,0.0967,0.8917,1.952284060108339,false
0.903,0.6975,0.252,25.482705337272368,true
0.5794,0.7255,0.593,48.086429195701726,false
0.4429,0.5389,0.1453,7.337513316443033,true
0.6104,0.0596,0.7586,1.8349183782508534,true
0.6551,0.3306,0.0723,46.71194903811227,false
0.2979,0.6294,0.8832,29.755083757562137,false
0.5402,0.9659,0.8504,6.848296943665372,false
0.5635,0.5406,0.7773,43.9037615095792,false
0.1802,0.8431,0.5271,1.9699339218909298,true
0.7448,0.7687,0.1762,32.04047668825295,true
0.0958,0.747,0.9445,15.440593762844655,true
0.9903,0.4135,0.0954,2.624787656474575,true
0.2347,0.1515,0.2831,4.379786592378126,true
0.5143,0.7879,0.8267,8.837464374141273,false
0.4102,0.799,0.1647,9.03404302694485,true
0.0852,0.259,0.6495,18.95371586180592,false
0.538,0.0902,0.911,7.149196694681914,false
0.2173,0.4542,0.3635,13.303138701768445,false
0.3661,0.1389,0.8546,10.084504118560417,true
0.5011,0.7788,0.8201,2.643225627680798,true
0.9564,0.0925,0.3941,1.8422727507029337,true
0.7631,0.2112,0.8242,7.682922433703272,true
0.9364,0.976,0.6241,3.1931248048907275,true
0.7573,0.9159,0.8644,28.73167003749955,false
0.3432,0.0703,0.5414,49.00880618379953,true
0.3755,0.5318,0.4477,28.933497299050167,true
0.8332,0.1699,0.4849,52.61493422114824,false
0.9572,0.189,0.4782,23.406177892067255,true
0.9744,0.8227,0.7455,1.8719861883312423,true
0.4833,0.1278,0.9095,18.24698753813535,true
0.9526,0.5921,0.671,35.12805152370102,true
0.826,0.0514,0.2136,3.5894536346044714,true
0.179,0.394,0.4915,25.17874031095457,true
0.4011,0.193,0.8425,6.347112594720152,true
0.7921,0.4364,0.32,21.391635903566247,true
0.7281,0.4389,0.3784,10.185855069912932,true
0.5436,0.289,0.9882,1.4814183893292643,true
0.159,0.5471,0.5945,1.4506329812931589,true
0.1566,0.2212,0.103,1.5219615556186337,true
0.1956,0.5878,0.639,1.7091565445052328,true
0.9848,0.0097,0.1816,18.011311910806302,true
0.8143,0.0694,0.9493,3.676642604442661,false
0.0293,0.7947,0.5976,1.4622845894342245,true
0.894,0.8042,0.2234,1.2687091928249108,true
0.6266,0.2075,0.5107,43.51040043600773,true
0.6315,0.3126,0.7435,7.682922433703272,false
0.1909,0.5136,0.27,19.31727937946127,true
0.0151,0.5044,0.8846,4.933259866177374,true
0.4137,0.8686,0.023,21.75840239619708,true
0.9729,0.3487,0.4186,47.417909742251446,false
0.5936,0.0693,0.9052,1.9897320869507038,true
0.6989,0.913,0.1061,3.7886130414746066,true
0.9923,0.8201,0.8952,1.3257787199867919,false
0.2147,0.5117,0.93,5.254054162381541,true
0.4167,0.1227,0.3033,48.91088652373189,false
0.5621,0.2573,0.8627,2.734640546507821,true
0.2739,0.7913,0.7914,4.379786592378126,false
0.5605,0.0951,0.7333,12.961714839065175,false
0.4719,0.7928,0.1706,32.492198033212,false
0.7119,0.4969,0.25,1.8166606353305506,true
0.0483,0.9893,0.1618,15.626997071013474,true
0.2531,0.6483,0.3369,3.557293489626119,true
0.524,0.6673,0.51,6.979658569266431,false
0.7774,0.361,0.9337,22.2201603353993,false
0.0235,0.9901,0.0292,2.398875293967098,true
0.8964,0.4247,0.5361,13.957262749606725,true
0.5832,0.9549,0.5169,7.901084274564997,false
0.3048,0.4882,0.3577,2.8863709892679585,true
0.0609,0.1745,0.6824,1.9877433493982577,true
0.1895,0.6493,0.4682,9.070251567856412,true
0.6074,0.8133,0.5221,11.553633774517483,true
0.9974,0.8412,0.0515,4.11648646597326,true
0.1137,0.9716,0.6169,7.063919023701211,false
0.1655,0.1535,0.5965,2.3117388724745376,true
0.6094,0.7985,0.2919,6.252616399063797,true
0.7766,0.6562,0.8956,2.365525036373806,true
0.4138,0.6466,0.8828,3.061790881006129,true
0.2283,0.6405,0.6578,9.611881601322183,false
0.6389,0.497,0.3996,3.7396798269705425,true
0.6371,0.7199,0.9432,5.5123994486561045,true
0.3661,0.5932,0.4046,4.773119144999637,true
0.7707,0.0412,0.9503,18.192328604914966,true
0.4118,0.1363,0.9362,45.51309105184846,true
0.6765,0.3795,0.9319,41.2643941086108,false
0.4909,0.0669,0.5136,5.783447741956774,true
0.9291,0.6085,0.581,7.085142600219411,true
0.1329,0.698,0.6588,1.3647892211861614,true
0.3151,0.1427,0.2616,22.37624712415387,true
0.639,0.6812,0.5738,2.8834860609832433,true
0.9495,0.6881,0.3776,26.18011099082296,true
0.5278,0.5631,0.2278,1.9758525972306062,true
0.5306,0.1539,0.2918,43.51040043600773,true
0.7893,0.1706,0.066,1.8294218719978594,true
0.355,0.6483,0.7537,29.1658936232938,true
0.8247,0.4074,0.0973,1.54805607705634,true
0.9466,0.6425,0.8702,22.96565869668021,false
0.714,0.7868,0.53,2.614309476180169,true
0.393,0.9055,0.0591,44.07972825448507,true
0.0446,0.4144,0.8354,4.0551999668446745,true
0.5491,0.9276,0.9205,3.186744937275184,false
0.6131,0.6759,0.226,2.1489943746552203,true
0.6833,0.067,0.4302,3.3601983332969763,true
0.0202,0.5302,0.2785,4.297356215469162,true
0.8019,0.0361,0.802,1.8221188003905089,true
0.5776,0.7608,0.6016,2.611696473423118,true
0.5377,0.3556,0.8547,22.087238537545623,false
0.6562,0.7475,0.5993,51.72804029700308,true
0.1803,0.9805,0.3531,2.0137527074704766,true
0.8365,0.6851,0.7442,1.0335505392413056,true
